id,company_id,company,role,category,description,requirements,location,deadline,salary,source,url,status,last_seen
54002759,M0lVY2l3eG94ZEtPYUFVU3hlbEs5UT09,스타바이오,(주)스타바이오 대구 달서구 의료기기 로봇 엔지니어 채용,R&D|영업,"영업관리, 영업지원, 영업직, 의료기기영업",경력무관 / 학력무관 / 정규직,서울서초구,06/26(금),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54002759&location=ts,마감,2026-06-18
54131337,cnc4OWU4V24yejQ3dGVOekVjN1dFQT09,한신지알에스(주),직각좌표로봇 조립 및 제조기술 경력/신입 채용 공고 - 정규직,생산/제조,"자동화라인, 조립, 메카트로닉스, 기계",경력무관 / 학력무관 / 정규직,대구달서구,07/10(금),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54131337&location=ts,마감,2026-06-18
53999494,NC9Rc3ppTnRwUjlabEJIZFJrdVlVdz09,(주)로아스,로봇 현장 유지보수/CS 담당자 모집(로봇관심자우대),R&D|필드엔지니어,"자동화설계, 유지보수, 네트워크, 솔루션",경력무관 / 학력무관 / 계약직,인천서구,06/28(일),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53999494&location=ts,마감,2026-06-18
53833902,YkxoOVJ4NTlMamN4a093R0RHTXdpZz09,(주)유닉스엔지니어링,"[품질보증부] 품질담당자 채용 (초정밀스테이지, 로봇, EFEM)",생산/제조,"외관검사원, 품질분석, 품질관리, 품질보증",신입·경력 / 학력무관 / 정규직,경기화성시 동탄구,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53833902&location=ts,마감,2026-06-18
53921239,RklPQXhyRzFFQkI0SUdOK1kxaUFYQT09,(주)한국원자력로봇,(주)한국원자력로봇 기계설계 엔지니어 채용,R&D,"기계설계, 기구설계",경력무관 / 학력무관 / 정규직,대전유성구,07/17(금),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53921239&location=ts,마감,2026-06-18
54103052,d0dLalZJaGRWYjVrUHkzOTVyZVhOZz09,주식회사 위로보틱스,[(주)위로보틱스] 웨어러블 로봇 품질 검사원 모집,생산/제조,"외관검사원, 품질검사원, QC, 품질관리",경력무관 / 학력무관 / 정규직,경기용인시 수지구,07/08(수),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54103052&location=ts,마감,2026-06-18
53989950,b1RMUVdJbU82M1FqOUFtakZWdjM2UT09,청라스마트러닝센터,레고 로봇·코딩 강사 신입/경력 채용,R&D,"보조강사, 학원강사, IT강사, 교육운영",신입·경력 / 초대졸↑ / 정규직,인천서구,06/24(수),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53989950&location=ts,마감,2026-06-18
54176619,RjZKRlBLM2dWT0p4UVl5Y1NhYnY1QT09,(주)유베이스,[화상면접] 로봇청소기 AS접수/ 단순상담/ 평일근무 AU2,필드엔지니어,"고객안내, 고객응대, 상담원, 인바운드",경력무관 / 학력무관 / 정규직,경기부천시 원미구,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54176619&location=ts,마감,2026-06-18
54211599,bERyWndCcWpVcEZtSXhGb1VhMGVRZz09,(주)대웅에스앤티,[생산팀] 로봇 용접 자동화라인 채용(주야2교대),생산/제조,"용접원, 자동차부품",경력무관 / 고졸↑ / 정규직,광주광산구,07/18(토),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54211599&location=ts,마감,2026-06-18
54200846,MkZ6VFkyeEhOR3BlRnNkS3BLazE3UT09,(주)엠시스로보틱스,(주)엠시스로보틱스 경영지원(회계·인사·연구과제 관리) 채용 공고,R&D,"관리회계, 기업회계, 세무회계, 소프트웨어개발",경력무관 / 초대졸↑ / 정규직,충북청주시 서원구,06/30(화),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54200846&location=ts,마감,2026-06-18
54071205,K1M1Sys2VDNsYS9sQnRudHRMSXdtdz09,(주)제이스로보틱스,(주)제이스로보틱스 아산사업장 안내데스크 채용,R&D,"안내데스크, 내방객응대, 문서작성, 사내행사",경력무관 / 고졸↑ / 정규직,충남아산시,07/04(토),,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54071205&location=ts,마감,2026-06-18
53931534,YkRjZzU4bWpKZWJncnpkQXZUWFNOZz09,(주)시스윈로보틱스,[시스윈로보틱스] 총무 담당자 신입/경력 모집,R&D,"총무, 문서작성, 비품관리, 사내행사",경력무관 / 초대졸↑ / 정규직,경기화성시,상시,,사람인,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53931534&location=ts,마감,2026-06-18
