id,name,revenue,employees,founded,biz_type,industry,homepage,last_updated,url
UU5DYkFKbms1a1FjbUJXeU9LQ0oxQT09,주식회사메타유닉스,,8명,,,솔루션·SI·ERP·CRM,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=UU5DYkFKbms1a1FjbUJXeU9LQ0oxQT09
cWp5eklzYlVFNnJYVXJPVjl4ZGd0UT09,(주)앱솔루텍,,,,중소기업,,http://www.absolutech.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=cWp5eklzYlVFNnJYVXJPVjl4ZGd0UT09
RVQveDViVzdpSlFvemRnTmpwMGdDdz09,(주)피코와이즈,,7명,2022년 9월 14일,7                                        명 출처: 국민연금 사원수 6억 5,응용 소프트웨어 개발 및 공급업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=RVQveDViVzdpSlFvemRnTmpwMGdDdz09
NnMzYjFZdHR5NW55V3VFWVZpYmMxQT09,엠엔에스아이(주),,59명,2011년 6월 15일,중소기업,그 외 기타 특수목적용 기계 제조업,http://www.mnsi.co.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=NnMzYjFZdHR5NW55V3VFWVZpYmMxQT09
SEp6L0pPdTlGUUlTdFl5QTh6a3JMdz09,(주)아이비에스,,57명,1996년 8월 28일,중소기업,응용 소프트웨어 개발 및 공급업,http://www.ibslab.com,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=SEp6L0pPdTlGUUlTdFl5QTh6a3JMdz09
UEpxSElVK1hXN2RJZzFGQ3lFNEdTQT09,글피,,10명,,10                                        명 출처: 국민연금 사원수 8억 7,배전반 및 전기 자동제어반 제조업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=UEpxSElVK1hXN2RJZzFGQ3lFNEdTQT09
cjhkY2VpSGwzdWVrVkR3Q0RIN3N5QT09,(주)리스너,,112명,2016년 6월 9일,중소기업,응용 소프트웨어 개발 및 공급업,http://www.lisner.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=cjhkY2VpSGwzdWVrVkR3Q0RIN3N5QT09
K1ZRRnN0TzV2UlJEdEFOUW9Fb21FUT09,에이원정보기술(주),,6명,2008년 1월 23일,중소기업,응용 소프트웨어 개발 및 공급업,,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=K1ZRRnN0TzV2UlJEdEFOUW9Fb21FUT09
QThMenVsZlVQTEdRRmNwV1c1anU3UT09,(주)이프,,,2020년 3월 24일,중소기업,솔루션·SI·ERP·CRM,https://www.intelligentfactory.co.kr/,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=QThMenVsZlVQTEdRRmNwV1c1anU3UT09
Z3kvQzF6M1JPZDczd3dhZlJiNWdqdz09,(주)이즈파크,,,2009년 10월 9일,중소기업,응용 소프트웨어 개발 및 공급업,http://www.ispark.kr,2026-06-17,https://www.saramin.co.kr/zf_user/company-info/view?csn=Z3kvQzF6M1JPZDczd3dhZlJiNWdqdz09
